participant.id,osf.surprised,osf.upset,osf.angry,osf.jealous,osf.happy,osf.threatened,osf.relieved,osf.sad,ssf.surprised,ssf.upset,ssf.angry,ssf.jealous,ssf.happy,ssf.threatened,ssf.relieved,ssf.sad,rom.surprised,rom.upset,rom.angry,rom.jealous,rom.happy,rom.threatened,rom.relieved,rom.sad,age.participant,relationship.status.participant,gender,sexual.orientation.participant,age.friend,osf.closer.ssf,friendship.duration.wks,sexual.orientation.friend,comparison.attractive,romantic.attraction.tofriend,sexual.attraction.tofriend,single.or.dating,comp.osf.jealous,comp.ssf.jealous,comp.rom.jealous,comp.osf.angry.upset,comp.ssf.angry.upset,comp.rom.angry.upset,comp.rom.sex
128,2,1,1,1,1,2,3,2,3,1,1,1,3,1,2,1,3,1,1,1,3,3,2,2,22,2,2,2,22,2,156,2,1,1,1,1,1.5,1,2,1,1,1,1
129,3,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,1,1,2,22,1,100,3,2,1,1,1,1,1,1,1,1,1,1
130,1,1,1,1,3,1,2,1,5,3,3,1,2,1,5,1,5,1,1,2,4,1,3,1,23,1,1,2,23,2,208,2,7,4,3,1,1,1,1.5,1,3,1,3.5
131,4,1,1,2,2,1,1,2,1,1,1,2,4,1,3,1,5,4,2,3,2,2,1,3,19,1,2,1,19,2,54,2,6,6,4,1,1.5,1.5,2.5,1,1,3,5
132,4,1,1,1,4,1,1,1,2,1,1,1,4,1,1,1,5,1,1,1,4,1,1,1,19,3,1,2,19,2,54,1,2,1,1,2,1,1,1,1,1,1,1
133,1,1,1,1,3,1,1,1,3,1,1,1,3,1,1,1,3,1,1,1,3,1,1,1,22,1,1,2,21,2,106,2,5,1,1,1,1,1,1,1,1,1,1
134,3,3,2,3,1,3,3,3,4,1,1,1,5,1,5,1,3,1,1,1,4,1,3,1,21,1,1,2,21,2,208,2,4,4,3,1,3,1,1,2.5,1,1,3.5
135,1,1,1,2,3,1,4,1,1,1,1,1,3,1,1,1,1,2,2,2,2,1,4,1,18,1,2,2,18,2,3,2,5,2,2,1,1.5,1,1.5,1,1,2,2
136,1,1,1,1,4,1,1,1,3,1,1,2,4,1,1,1,3,1,1,1,4,1,1,1,18,2,1,2,18,2,368,1,6,1,1,1,1,1.5,1,1,1,1,1
137,1,1,1,1,4,1,3,1,4,1,1,1,4,1,3,1,2,1,1,1,5,1,4,1,18,1,2,2,18,NA,52,2,4,1,1,1,1,1,1,1,1,1,1
138,2,1,1,1,4,1,2,1,1,1,1,1,4,1,3,1,4,1,1,1,3,2,4,1,18,1,2,2,18,2,26,2,4,1,1,1,1,1,1.5,1,1,1,1
139,4,1,1,3,2,1,2,2,1,1,1,1,4,1,3,1,3,1,1,2,4,1,2,2,18,1,1,2,18,2,260,2,7,3,3,1,2,1,1.5,1,1,1,3
140,3,2,1,1,3,2,2,1,2,1,1,1,4,1,3,1,4,3,2,1,1,2,1,1,18,3,1,2,18,1,142,2,6,7,7,2,1.5,1,1.5,1.5,1,2.5,7
141,3,1,1,2,4,2,4,1,2,1,1,1,5,1,2,1,3,1,1,3,4,2,2,4,19,1,2,4,19,2,150,2,6,3,2,1,2,1,2.5,1,1,1,2.5
142,2,1,1,1,3,1,1,1,2,1,1,1,4,1,3,1,2,1,1,1,4,1,1,1,18,3,2,2,18,2,522,2,1,1,1,2,1,1,1,1,1,1,1
143,3,3,3,4,2,4,1,3,2,2,1,2,2,2,3,2,3,2,2,4,3,4,2,2,18,2,2,1,18,2,52,2,4,1,1,1,4,2,4,3,1.5,2,1
144,2,1,1,1,4,1,3,1,1,1,1,1,5,1,3,1,3,2,1,1,4,1,3,1,18,3,1,NA,18,2,156,4,5,1,1,2,1,1,1,1,1,1.5,1
145,3,1,1,2,4,1,3,1,1,1,1,1,3,1,1,1,2,1,1,1,3,1,1,1,19,3,2,1,18,2,104,4,6,1,2,2,1.5,1,1,1,1,1,1.5
146,1,1,1,1,3,1,1,1,1,1,1,1,3,1,1,1,2,1,1,1,3,1,1,1,18,1,1,1,19,2,102,1,5,2,1,1,1,1,1,1,1,1,1.5
147,3,1,1,1,5,1,1,1,3,1,1,1,5,1,1,1,2,1,1,1,4,1,1,1,18,1,1,2,19,2,52,1,4,1,1,1,1,1,1,1,1,1,1
148,2,1,1,1,4,1,1,1,4,1,1,1,4,1,3,1,1,1,1,1,4,1,3,1,19,3,1,2,21,1,130,2,7,7,7,2,1,1,1,1,1,1,7
149,3,1,1,2,3,2,1,1,1,1,1,1,2,1,1,1,2,3,2,3,1,2,1,2,18,1,1,2,18,2,2,2,5,4,3,1,2,1,2.5,1,1,2.5,3.5
150,1,1,1,3,3,2,3,1,3,1,1,3,3,3,1,2,1,2,1,1,4,1,4,1,20,3,2,3,20,2,10,2,4,1,1,2,2.5,3,1,1,1,1.5,1
151,1,1,1,1,3,1,1,1,2,1,1,1,4,1,2,1,4,1,1,1,4,1,1,1,21,1,1,2,20,2,7,2,1,1,1,1,1,1,1,1,1,1,1
152,4,1,1,2,4,1,2,2,1,1,1,2,5,1,1,1,5,1,1,1,5,1,2,2,21,3,1,2,20,1,32,1,6,1,2,2,1.5,1.5,1,1,1,1,1.5
153,2,2,2,2,3,3,1,4,1,1,1,1,4,2,3,1,4,3,3,2,4,4,1,4,18,1,2,1,18,2,2,2,6,3,2,1,2.5,1.5,3,2,1,3,2.5
154,2,2,1,2,5,1,3,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,2,1,20,1,2,2,20,2,107,2,4,1,1,1,1.5,1,1,1.5,1,1,1
155,2,4,4,2,2,3,1,2,3,1,1,1,2,1,1,1,3,4,4,3,2,3,1,2,18,1,1,2,17,2,40,2,5,3,3,1,2.5,1,3,4,1,4,3
156,2,1,1,1,3,1,1,1,1,1,1,2,NA,2,1,2,3,2,1,1,3,1,1,2,20,1,2,1,21,2,32,2,6,2,1,1,1,2,1,1,1,1.5,1.5
157,1,3,2,4,3,2,2,3,1,1,1,2,4,1,3,1,4,4,4,5,2,2,2,4,21,1,1,2,21,1,208,2,6,6,6,1,3,1.5,3.5,2.5,1,4,6
158,1,2,2,2,2,2,1,3,1,2,2,2,3,1,1,2,2,2,1,2,3,1,1,2,20,1,2,4,21,2,52,2,4,1,1,1,2,1.5,1.5,2,2,1.5,1
159,1,1,1,3,2,3,1,2,2,1,1,1,4,2,1,1,1,1,1,3,5,2,1,2,20,1,2,4,19,2,55,2,4,1,1,1,3,1.5,2.5,1,1,1,1
160,2,2,1,2,2,2,1,1,1,1,1,1,4,1,2,1,3,1,1,3,4,3,1,3,19,3,2,2,19,2,312,2,4,1,1,2,2,1,3,1.5,1,1,1
161,4,4,4,1,1,3,1,3,5,1,1,1,4,1,3,1,5,5,5,1,1,4,1,3,18,3,2,2,18,2,3,2,2,1,1,2,2,1,2.5,4,1,5,1
162,1,1,1,1,4,1,2,1,4,1,1,1,3,1,1,1,2,1,1,1,2,1,1,1,18,1,2,2,18,2,3,2,3,1,1,1,1,1,1,1,1,1,1
163,5,1,1,2,3,3,1,1,1,1,1,1,1,1,1,1,5,2,1,2,3,2,1,1,18,3,2,2,18,2,4,2,3,1,1,2,2.5,1,2,1,1,1.5,1
164,1,2,1,3,4,1,3,1,1,1,1,1,5,1,4,1,1,1,1,1,5,1,3,1,18,3,2,2,19,2,104,3,6,1,1,2,2,1,1,1.5,1,1,1
