participant.id,osf.surprised,osf.upset,osf.angry,osf.jealous,osf.happy,osf.threatened,osf.relieved,osf.sad,ssf.surprised,ssf.upset,ssf.angry,ssf.jealous,ssf.happy,ssf.threatened,ssf.relieved,ssf.sad,rom.surprised,rom.upset,rom.angry,rom.jealous,rom.happy,rom.threatened,rom.relieved,rom.sad,age.participant,relationship.status.participant,gender,sexual.orientation.participant,age.friend,osf.closer.ssf,friendship.duration.wks,contact.frequency,sexual.orientation.friend,comparison.attractive,romantic.attraction.tofriend,sexual.attraction.tofriend
46,1,1,1,1,4,1,1,1,1,1,1,1,4,1,3,1,3,1,1,1,4,1,3,1,23,4,1,2,24,2,52,1,2,5,3,2
47,2,1,1,1,2,1,1,2,1,1,1,1,5,1,3,1,4,3,3,1,1,2,1,2,20,2,2,NA,20,2,104,2,2,6,4,2
48,1,1,1,1,4,1,1,1,1,1,1,1,4,1,1,1,2,1,1,1,4,1,1,1,19,1,2,2,18,2,130,2,2,5,1,1
49,1,1,1,3,4,1,3,2,1,1,1,3,4,1,3,2,3,1,1,1,4,1,3,1,19,1,1,2,19,2,28,2,2,2,3,1
50,1,1,1,2,3,2,3,1,1,1,1,1,3,1,3,1,2,2,1,2,3,2,1,2,18,1,2,2,18,1,156,1,2,4,3,3
51,3,3,2,4,4,3,2,2,2,1,1,1,5,1,2,1,5,5,3,4,3,3,1,5,18,1,2,2,19,1,3,1,2,7,7,7
52,1,1,1,1,3,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,3,1,3,1,20,1,1,2,19,2,312,3,2,7,4,7
53,2,2,2,1,2,3,1,1,1,1,1,1,3,1,1,1,4,3,3,1,2,3,1,2,19,1,1,2,17,2,884,2,2,1,1,1
57,4,2,3,3,2,2,3,2,3,1,1,1,1,1,2,1,2,2,1,3,1,3,1,3,18,1,1,2,18,2,4,1,2,6,5,6
58,3,2,1,2,4,2,2,2,2,1,1,2,4,1,1,2,4,3,1,3,2,4,2,2,18,1,2,2,18,1,4,1,2,7,4,5
59,2,2,1,2,3,1,1,1,1,1,1,1,4,1,1,1,2,1,1,1,3,2,1,1,18,1,2,2,18,2,208,1,2,4,2,1
60,1,1,1,1,4,1,3,1,5,1,1,1,2,1,2,1,1,1,1,1,4,1,4,1,18,1,2,2,18,2,208,1,2,1,1,1
61,2,2,1,2,3,1,1,1,1,1,1,1,4,1,1,1,4,1,1,2,3,1,1,2,18,1,1,2,18,2,208,1,2,5,4,4
62,1,1,1,1,4,1,2,2,2,1,1,2,4,1,2,1,1,1,1,1,4,1,4,1,20,3,2,2,21,2,3,1,2,4,1,1
63,1,1,1,1,2,1,1,1,1,1,1,1,4,1,2,1,5,1,1,1,3,1,5,1,21,1,1,2,20,2,3,1,4,1,1,1
64,1,1,1,1,4,1,1,1,1,1,1,2,4,1,1,1,2,1,1,1,5,1,1,1,18,1,1,3,18,2,3,1,2,5,1,1
65,3,2,2,3,2,2,1,3,4,1,1,1,4,1,3,1,3,1,1,1,4,1,2,1,19,3,2,2,18,2,156,1,2,1,1,1
66,5,1,1,1,4,1,4,1,5,1,1,1,4,1,4,1,5,1,1,1,5,1,4,1,24,1,2,2,22,2,52,1,2,5,1,1
67,4,1,1,1,5,1,5,1,4,1,1,1,3,1,3,1,2,1,1,1,NA,1,4,1,21,3,2,2,19,1,312,1,2,5,1,1
68,4,3,3,4,2,4,1,2,4,1,1,1,5,2,3,2,4,2,2,3,3,3,2,3,20,1,2,2,20,2,58,2,2,6,4,5
69,5,2,1,1,2,1,2,2,5,1,1,1,5,1,5,1,5,1,1,1,5,1,5,1,23,3,2,2,22,1,52,1,2,6,1,1
70,1,1,1,1,4,1,4,1,1,1,1,1,4,1,4,1,2,1,1,1,4,1,4,1,21,3,2,2,21,2,104,5,2,4,1,1
71,2,1,1,2,3,2,3,2,1,2,1,2,3,1,3,2,2,1,1,2,4,1,NA,2,19,1,2,1,20,2,40,1,2,3,1,1
72,1,2,1,2,4,2,1,2,1,1,1,1,4,1,2,2,2,1,1,1,4,2,1,1,19,1,2,2,19,2,416,1,2,3,1,1
73,1,1,1,1,4,1,3,1,1,1,1,1,4,1,3,1,1,1,1,1,4,1,3,1,21,1,1,2,21,1,106,1,2,4,1,1
74,1,1,1,1,4,1,3,1,2,1,1,1,3,1,3,1,1,1,1,1,4,1,3,1,18,1,2,2,18,2,1,1,2,4,1,1
75,1,1,1,1,5,1,5,1,1,1,1,1,5,1,5,1,1,1,1,1,5,1,5,1,21,1,1,2,21,2,2,2,2,4,4,4
76,1,2,2,4,5,2,1,2,1,1,1,1,5,1,2,1,3,2,1,3,5,2,4,2,20,1,2,2,20,2,13,2,2,7,4,4
77,2,2,1,1,2,1,4,1,4,1,1,1,4,1,5,1,3,1,1,2,4,1,3,1,22,1,1,2,21,2,52,3,2,7,4,4
78,2,1,1,1,5,2,3,1,1,1,1,1,4,1,5,11,2,1,1,1,4,2,2,2,21,1,2,2,21,1,728,1,2,2,2,1
79,3,3,1,1,4,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,5,1,3,2,19,3,1,2,21,2,364,4,2,5,1,1
80,2,1,1,1,4,1,1,1,1,1,1,1,4,1,1,1,5,5,5,1,1,1,1,5,20,3,2,2,20,2,104,1,2,3,1,1
81,1,1,1,2,5,1,1,1,2,1,1,3,4,2,3,1,4,2,1,3,3,1,1,1,19,1,1,2,18,2,263,1,2,6,4,5
82,2,1,1,3,3,1,3,1,1,3,1,5,2,4,2,5,5,3,5,5,5,5,1,5,18,3,1,2,19,1,30,1,2,7,7,7
83,2,2,1,3,4,4,3,3,5,4,4,3,3,5,2,4,2,3,2,3,3,2,1,4,18,1,1,2,18,2,16,1,2,6,5,4
84,1,1,1,1,4,2,1,1,1,1,1,1,2,1,2,1,4,2,2,2,2,1,1,1,18,1,2,2,18,2,NA,2,2,3,1,1
85,2,1,1,1,4,1,1,1,1,1,1,1,5,2,1,1,1,1,1,1,3,2,1,1,18,3,2,2,18,1,208,1,2,5,1,1
86,2,1,1,1,3,1,1,1,2,1,1,1,3,1,2,1,5,3,1,1,2,1,1,1,19,1,2,2,19,2,52,1,3,5,1,1
87,3,1,1,2,3,1,1,1,5,2,1,3,2,3,1,2,5,1,2,1,1,2,1,2,21,3,1,2,20,2,104,1,2,5,5,6
88,4,3,2,2,3,1,2,1,1,1,1,1,5,1,5,1,3,1,2,3,1,2,4,3,20,1,1,2,18,1,172,2,1,4,2,1
89,3,1,2,3,1,2,4,3,5,1,1,1,5,1,4,1,2,3,1,5,1,3,1,5,21,3,1,2,20,2,17,5,4,4,4,4
90,1,1,1,1,4,1,3,1,3,1,1,1,4,1,3,1,1,1,1,1,3,1,3,1,20,3,1,2,20,2,60,3,2,4,1,2
91,4,4,3,4,2,3,1,1,1,1,1,2,4,1,1,1,4,4,4,3,1,1,1,2,21,3,2,2,24,1,156,1,2,5,4,1
92,1,1,1,1,4,1,4,1,1,1,1,1,4,1,3,1,2,1,1,1,4,1,3,1,21,1,2,2,21,2,156,2,2,4,4,4
93,1,1,1,1,4,1,3,1,1,1,1,1,4,1,4,1,1,1,1,1,4,1,4,1,19,1,2,1,19,2,520,2,2,2,1,1
94,2,1,1,1,3,1,1,1,3,1,1,1,4,1,1,1,1,1,1,1,4,1,1,1,19,3,2,2,18,2,52,5,2,1,1,1
95,1,2,1,2,4,2,1,1,1,1,1,1,5,1,1,1,1,2,1,2,4,1,1,1,19,1,1,2,19,2,364,1,2,7,7,7
96,4,3,2,1,5,5,1,5,2,1,1,1,5,1,3,1,5,5,5,5,1,1,1,5,20,1,1,2,23,1,1000,1,2,7,7,7
97,2,1,1,1,4,1,2,1,1,1,1,1,4,1,2,1,1,1,1,1,4,1,1,1,18,3,1,2,18,2,50,1,2,4,1,1
98,1,1,1,1,4,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,4,1,1,1,19,1,1,2,19,2,260,1,2,5,3,3
99,1,1,1,2,3,1,1,1,1,1,1,1,4,1,1,1,3,1,1,2,4,1,1,1,19,1,1,2,19,2,364,1,2,5,3,4
100,3,1,1,1,4,2,2,1,2,1,1,1,4,2,2,1,5,2,1,1,4,2,3,1,19,3,2,2,19,NA,47,1,2,2,1,1
101,3,1,1,2,4,1,3,1,4,1,1,1,5,1,4,1,1,1,1,1,4,1,4,1,19,3,2,1,19,1,30,2,2,4,4,2
102,3,1,1,2,3,2,1,2,1,2,1,3,4,2,1,2,1,1,1,2,4,1,4,1,19,1,2,2,19,2,150,2,1,3,1,1
103,1,1,1,1,5,1,1,1,1,1,1,1,5,1,3,1,3,1,1,1,4,1,1,1,19,1,1,2,19,2,88,1,2,6,1,1
104,2,2,1,3,2,2,2,2,2,1,1,1,4,1,2,1,5,4,4,4,2,4,2,2,19,1,2,2,19,2,60,NA,NA,NA,NA,NA
105,5,5,5,5,1,1,1,5,5,3,4,3,1,1,1,5,5,5,5,5,1,1,1,5,19,3,2,2,19,1,104,1,2,7,7,7
106,1,1,1,1,4,1,1,1,1,1,1,1,4,1,2,1,2,2,1,2,4,1,1,2,18,1,2,2,18,2,5,3,4,5,3,3
107,1,1,1,2,4,2,2,1,2,1,1,2,3,1,2,1,2,1,1,2,4,2,3,1,20,3,2,2,21,2,54,3,4,4,1,1
108,1,1,1,1,4,1,3,1,1,1,1,2,4,1,3,1,2,1,1,3,4,1,3,1,20,1,2,2,21,2,55,3,4,4,1,1
109,1,1,1,3,4,3,2,3,1,1,1,2,5,2,2,3,4,4,3,3,2,4,1,4,18,1,2,2,20,2,5,2,4,5,4,3
110,2,1,1,1,3,2,1,2,2,1,1,1,4,1,2,1,5,3,1,1,3,1,1,1,19,1,2,2,19,2,52,1,3,5,1,1
111,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,4,1,1,1,2,1,1,1,21,3,1,2,21,1,416,1,2,4,1,1
112,1,1,1,1,5,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,1,1,22,3,2,2,21,2,150,2,2,4,1,1
113,3,1,1,2,3,1,4,1,1,1,1,1,4,1,1,1,4,1,1,1,2,2,1,1,18,1,1,2,16,1,52,2,3,4,1,1
114,2,4,4,3,1,2,2,3,1,1,1,2,1,2,1,2,3,5,4,4,1,4,1,4,22,1,1,2,22,2,104,2,2,7,7,7
115,1,1,1,1,5,1,1,1,3,1,1,1,5,1,2,1,1,1,1,1,5,1,3,1,19,1,1,3,19,2,312,1,2,1,1,1
116,1,1,1,1,4,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,3,1,1,1,20,1,1,2,19,2,52,2,1,7,4,7
117,3,2,2,3,2,3,1,3,4,1,1,2,4,1,4,2,5,3,3,3,2,4,1,3,20,2,1,2,19,1,48,1,2,5,4,5
118,1,1,1,1,3,1,1,1,1,1,1,1,3,1,1,1,3,1,1,1,4,1,2,1,22,3,1,2,21,2,150,2,2,5,1,1
119,1,1,1,1,5,1,1,1,1,1,1,1,5,1,1,1,5,1,1,1,4,1,1,1,23,3,1,2,22,2,364,4,3,6,1,1
120,1,1,1,1,4,4,3,1,1,1,1,1,5,1,3,1,1,1,1,1,5,5,2,1,21,1,1,2,19,2,572,1,2,5,1,1
121,2,1,1,2,4,1,4,1,1,1,1,1,4,1,3,1,1,1,1,1,4,1,3,1,20,2,1,2,20,2,400,4,2,4,1,1
122,3,1,1,1,3,1,1,1,1,1,1,1,4,1,1,1,3,1,1,2,3,1,1,1,20,3,1,2,20,2,104,1,2,6,4,2
124,2,2,1,1,4,1,1,2,1,1,1,1,4,1,1,1,3,1,1,1,3,1,1,1,19,3,2,2,20,2,52,1,2,3,1,1
125,2,1,1,1,3,1,1,1,1,1,1,1,3,1,1,1,2,1,1,1,2,1,1,1,19,1,1,2,20,2,364,3,2,5,2,5
126,2,1,1,1,3,1,1,1,1,1,1,1,4,1,1,1,3,2,1,1,5,1,1,1,19,1,1,2,19,2,208,2,4,6,1,4
127,1,1,1,1,2,1,1,1,2,1,1,1,3,1,3,1,4,3,2,1,3,2,1,2,19,1,1,2,19,1,156,1,2,4,2,2
128,2,1,1,1,1,2,3,2,3,1,1,1,3,1,2,1,3,1,1,1,3,3,2,2,22,2,2,2,22,2,156,2,2,1,1,1
129,3,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,1,1,2,22,1,100,2,3,2,1,1
130,1,1,1,1,3,1,2,1,5,3,3,1,2,1,5,1,5,1,1,2,4,1,3,1,23,1,1,2,23,2,208,2,2,7,4,3
131,4,1,1,2,2,1,1,2,1,1,1,2,4,1,3,1,5,4,2,3,2,2,1,3,19,1,2,1,19,2,54,1,2,6,6,4
132,4,1,1,1,4,1,1,1,2,1,1,1,4,1,1,1,5,1,1,1,4,1,1,1,19,3,1,2,19,2,54,1,1,2,1,1
133,1,1,1,1,3,1,1,1,3,1,1,1,3,1,1,1,3,1,1,1,3,1,1,1,22,1,1,2,21,2,106,3,2,5,1,1
134,3,3,2,3,1,3,3,3,4,1,1,1,5,1,5,1,3,1,1,1,4,1,3,1,21,1,1,2,21,2,208,4,2,4,4,3
135,1,1,1,2,3,1,4,1,1,1,1,1,3,1,1,1,1,2,2,2,2,1,4,1,18,1,2,2,18,2,3,1,2,5,2,2
136,1,1,1,1,4,1,1,1,3,1,1,2,4,1,1,1,3,1,1,1,4,1,1,1,18,2,1,2,18,2,368,2,1,6,1,1
137,1,1,1,1,4,1,3,1,4,1,1,1,4,1,3,1,2,1,1,1,5,1,4,1,18,1,2,2,18,NA,52,2,2,4,1,1
138,2,1,1,1,4,1,2,1,1,1,1,1,4,1,3,1,4,1,1,1,3,2,4,1,18,1,2,2,18,2,26,1,2,4,1,1
139,4,1,1,3,2,1,2,2,1,1,1,1,4,1,3,1,3,1,1,2,4,1,2,2,18,1,1,2,18,2,260,1,2,7,3,3
140,3,2,1,1,3,2,2,1,2,1,1,1,4,1,3,1,4,3,2,1,1,2,1,1,18,3,1,2,18,1,142,1,2,6,7,7
141,3,1,1,2,4,2,4,1,2,1,1,1,5,1,2,1,3,1,1,3,4,2,2,4,19,1,2,4,19,2,150,1,2,6,3,2
142,2,1,1,1,3,1,1,1,2,1,1,1,4,1,3,1,2,1,1,1,4,1,1,1,18,3,2,2,18,2,522,6,2,1,1,1
143,3,3,3,4,2,4,1,3,2,2,1,2,2,2,3,2,3,2,2,4,3,4,2,2,18,2,2,1,18,2,52,1,2,4,1,1
144,2,1,1,1,4,1,3,1,1,1,1,1,5,1,3,1,3,2,1,1,4,1,3,1,18,3,1,NA,18,2,156,2,4,5,1,1
145,3,1,1,2,4,1,3,1,1,1,1,1,3,1,1,1,2,1,1,1,3,1,1,1,19,3,2,1,18,2,104,1,4,6,1,2
146,1,1,1,1,3,1,1,1,1,1,1,1,3,1,1,1,2,1,1,1,3,1,1,1,18,1,1,1,19,2,102,2,1,5,2,1
147,3,1,1,1,5,1,1,1,3,1,1,1,5,1,1,1,2,1,1,1,4,1,1,1,18,1,1,2,19,2,52,1,1,4,1,1
148,2,1,1,1,4,1,1,1,4,1,1,1,4,1,3,1,1,1,1,1,4,1,3,1,19,3,1,2,21,1,130,1,2,7,7,7
149,3,1,1,2,3,2,1,1,1,1,1,1,2,1,1,1,2,3,2,3,1,2,1,2,18,1,1,2,18,2,2,1,2,5,4,3
150,1,1,1,3,3,2,3,1,3,1,1,3,3,3,1,2,1,2,1,1,4,1,4,1,20,3,2,3,20,2,10,2,2,4,1,1
151,1,1,1,1,3,1,1,1,2,1,1,1,4,1,2,1,4,1,1,1,4,1,1,1,21,1,1,2,20,2,7,2,2,1,1,1
152,4,1,1,2,4,1,2,2,1,1,1,2,5,1,1,1,5,1,1,1,5,1,2,2,21,3,1,2,20,1,32,1,1,6,1,2
153,2,2,2,2,3,3,1,4,1,1,1,1,4,2,3,1,4,3,3,2,4,4,1,4,18,1,2,1,18,2,2,1,2,6,3,2
154,2,2,1,2,5,1,3,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,2,1,20,1,2,2,20,2,107,1,2,4,1,1
155,2,4,4,2,2,3,1,2,3,1,1,1,2,1,1,1,3,4,4,3,2,3,1,2,18,1,1,2,17,2,40,1,2,5,3,3
156,2,1,1,1,3,1,1,1,1,1,1,2,NA,2,1,2,3,2,1,1,3,1,1,2,20,1,2,1,21,2,32,1,2,6,2,1
157,1,3,2,4,3,2,2,3,1,1,1,2,4,1,3,1,4,4,4,5,2,2,2,4,21,1,1,2,21,1,208,1,2,6,6,6
158,1,2,2,2,2,2,1,3,1,2,2,2,3,1,1,2,2,2,1,2,3,1,1,2,20,1,2,4,21,2,52,3,2,4,1,1
159,1,1,1,3,2,3,1,2,2,1,1,1,4,2,1,1,1,1,1,3,5,2,1,2,20,1,2,4,19,2,55,2,2,4,1,1
160,2,2,1,2,2,2,1,1,1,1,1,1,4,1,2,1,3,1,1,3,4,3,1,3,19,3,2,2,19,2,312,1,2,4,1,1
161,4,4,4,1,1,3,1,3,5,1,1,1,4,1,3,1,5,5,5,1,1,4,1,3,18,3,2,2,18,2,3,3,2,2,1,1
162,1,1,1,1,4,1,2,1,4,1,1,1,3,1,1,1,2,1,1,1,2,1,1,1,18,1,2,2,18,2,3,1,2,3,1,1
163,5,1,1,2,3,3,1,1,1,1,1,1,1,1,1,1,5,2,1,2,3,2,1,1,18,3,2,2,18,2,4,2,2,3,1,1
164,1,2,1,3,4,1,3,1,1,1,1,1,5,1,4,1,1,1,1,1,5,1,3,1,18,3,2,2,19,2,104,3,3,6,1,1
